id,name,longitude,latitude,Score_Population_Density,Score_Footfall,Score_Transit,Score_Traffic,Score_Rent_Value,Score_Parking,Score_Night_Activity,Score_Walkability,Score_Safety,Score_POI_Synergy
69,Kidwai Nagar,77.21169682,28.57151492,95,61.0020086,91.1783949,84,65.78802667,42.80761586,86.18663705,86.93402617,49.07072511,76.75643139
25,Timarpur,77.22165935,28.70180278,95,87.68656969,94.24973249,84,23.50626931,49.09459516,72.65380277,72.83825739,59.93670679,82.62252014
297,Model Town,77.19208545,28.71793899,95,85.33611671,95,84,28.39861303,48.38704902,79.26088802,77.6881797,54.96731287,79.79441693
64,Neeti Bagh,77.21442503,28.5579776,95,69.75359481,90.58849411,84,57.73176874,37.16038183,88.57682528,87.05931959,46.24728946,79.86202146
122,Greater Kailash,77.23888502,28.54542101,95,63.7143314,91.06547477,78,64.85104997,48.24675927,85.67412158,92.44682425,45.42487134,76.62778194
174,Safdarjung Enclave,77.19481595,28.56405644,95,70.51984323,89.57829754,84,59.61894912,42.69223148,86.37318576,88.4216268,55.61290708,70.78806755
90,New Friends Colony,77.27301546,28.57253348,95,60.1458537,95,84,61.57923129,49.26083384,84.23434042,86.40023124,45.74876548,76.65001691
99,Pul Pehlad Pur,77.28820428,28.49847669,95,66.27717413,93.70571182,72,58.15993284,60.84748809,82.34208783,77.6061687,46.57991128,78.79404017
65,Sadiq Nagar,77.22408279,28.5576254,95,71.36698293,89.48795607,84,66.84547761,41.19587955,85.04336006,82.96074657,48.78639358,76.96281851
173,Sarojini Nagar,77.1964967,28.57506116,95,66.73125566,91.00934808,84,55.44960385,37.95444777,88.91650888,84.65158309,55.00743074,73.89127924
319,Barakhamba,77.22392948,28.63928927,95,85.46308815,95,84,22.31947096,39.0990489,82.64144011,85.95394487,56.4790351,79.74272144
245,Kabir Basti,77.20850469,28.67422121,95,86.85476431,95,84,25.80172369,36.44021956,83.89946775,85.95009487,57.56908428,76.04064536
1,Kashmere Gate,77.23222779,28.66567377,95,87.0902115,95,84,24.55220149,33.60423978,84.08126233,84.73971847,57.38045019,81.11552582
166,Katwaria Sarai,77.18842246,28.54045516,95,61.36269111,86.45857233,78,64.58679907,48.77112169,84.08229486,91.77944303,55.94065308,66.949752
97,Ali,77.30223049,28.5209011,95,66.64625141,95,72,63.88525493,58.27537896,83.04165419,82.45587637,44.92695322,81.34206491
302,Jahangirpuri,77.1682143,28.72903893,95,77.06322262,95,84,59.12209053,61.19506936,64.32590767,66.40414458,52.41070272,73.3736708
86,Sarita Vihar,77.29443528,28.53299711,95,63.42854504,95,72,69.81474346,56.15219438,80.12569222,77.64190018,44.56265916,75.93763125
79,Sidhartha Nagar,77.25966758,28.57801533,95,61.425815,94.26522236,84,61.93934435,38.03275148,84.56719295,86.01478287,49.2240142,79.00090202
71,Kalkaji,77.26054489,28.5392013,95,66.700851,94.20868571,78,69.94500874,45.58163796,85.34283535,81.69848047,45.05073884,79.93040389
287,Kishan Ganj,77.20068253,28.66124489,95,85.73787319,95,84,20.43412533,33.1673647,86.05929551,87.73671177,56.75474414,77.98498095
102,Dakshinpuri,77.23565779,28.52055553,95,65.45449278,90.33962307,78,65.99669534,55.66419473,74.07737019,75.70894762,48.61669336,80.50905303
117,Kalu Sarai,77.20446141,28.53933874,95,60.93281564,85.8498794,78,63.89426277,55.17879202,86.32635004,83.89214265,46.62907168,78.73047805
116,Sheikh Sarai,77.22497036,28.53677378,95,67.00387334,89.94702163,78,60.38850054,50.47959489,88.55250811,81.74765668,47.30695977,82.06047901
350,Shastri Nagar,77.18063461,28.67555868,95,85.49096783,95,84,26.50877369,42.98405269,75.43944862,76.92731596,58.99757829,75.68082789
51,Karam Pura,77.14865004,28.66447342,95,69.13812758,94.41582488,84,67.25946655,53.6156196,78.9646274,70.77256874,53.97000356,72.18739618
298,Gujranwala Town,77.18893232,28.70006508,95,86.1935668,95,84,29.00023123,48.05391673,77.71226116,66.63215279,57.93845762,76.43484808
91,Gautam Nagar,77.21249656,28.56156562,95,71.63854592,89.68016127,84,65.87886491,36.30710377,83.21683427,87.50462738,45.24524562,78.13487499
62,Johripur,77.28611185,28.71601268,95,77.99416637,86.4914872,84,69.63797884,63.90196432,51.5821055,64.78919066,55.42756282,67.22361305
87,Ansari Nagar,77.20707772,28.56617332,95,70.42318954,90.83262355,84,55.60163787,38.06253621,83.61612535,89.90337649,46.91678291,77.6976526
143,Vivek Vihar,77.31752375,28.66920544,95,81.73695139,85.8950229,84,62.11946314,73.46005428,51.89397112,72.14212978,47.14841383,63.78190202
110,Sangam Vihar,77.23957413,28.50105026,95,65.46788103,88.95890849,78,67.8157764,51.34162624,74.75482898,82.04297389,47.69077484,78.88075728
106,Malviya Nagar,77.20908846,28.53293952,95,60.54535656,86.54699123,78,57.69524663,49.4679747,83.29786725,91.48504192,44.18278212,79.28525279
145,Anand Vihar,77.30860663,28.65388848,95,78.74954528,89.14996073,84,67.08505229,63.19973673,54.87656023,70.97641068,45.4065536,63.67012524
199,Kondli,77.32699951,28.6079079,95,63.09893266,93.1251024,72,64.76849466,54.3940499,80.93515063,75.00175101,46.46718493,77.5960944
362,Jahanpanah City Forest,77.2424865,28.52600014,95,63.61653449,92.44650596,78,69.36437927,47.71949726,73.65758997,76.88557641,45.95126718,82.74209172
175,Netaji Nagar,77.18681589,28.57449062,95,64.84179439,89.99534999,84,65.57021144,41.24663569,85.04320439,81.59796882,51.11439843,71.32391324
103,Badarpur,77.30554312,28.50220088,95,67.53069696,93.65272541,72,56.97351528,47.34546098,80.32763916,86.0105951,46.38719422,77.02617907
176,New Moti Bagh,77.18280843,28.57895377,95,61.60818274,92.03783167,84,58.02780178,38.8193964,89.81440263,91.55256804,52.23505359,66.56476716
315,Chandni Chowk,77.23341429,28.65149852,95,85.34451047,95,84,20.23638586,39.21248053,82.9682,80.30673454,56.24074767,79.58085786
96,Ntpc Water Treatment Plant,77.31985083,28.5185801,95,60.88555878,95,72,59.15241696,54.14129753,85.42882828,84.93886133,48.56345385,75.14499233
68,Defence Colony,77.232491,28.57256854,95,64.51511503,91.66823801,84,63.33045326,35.61349627,83.63013167,89.38786206,47.34070947,76.87362697
